1.0000000e-003	9.4770942e-005
1.1233240e-003	1.4835953e-004
1.2618569e-003	2.2913021e-004
1.4174742e-003	3.4912096e-004
1.5922828e-003	5.2480279e-004
1.7886495e-003	7.7829281e-004
2.0092330e-003	1.1387190e-003
2.2570197e-003	1.6436780e-003
2.5353645e-003	2.3406884e-003
2.8480359e-003	3.2884945e-003
3.1992671e-003	4.5580311e-003
3.5938137e-003	6.2328131e-003
4.0370173e-003	8.4084819e-003
4.5348785e-003	1.1191228e-002
5.0941380e-003	1.4694829e-002
5.7223677e-003	1.9036101e-002
6.4280731e-003	2.4328655e-002
7.2208090e-003	3.0675022e-002
8.1113083e-003	3.8157359e-002
9.1116276e-003	4.6827222e-002
1.0235310e-002	5.6695051e-002
1.1497570e-002	6.7720250e-002
1.2915497e-002	7.9802891e-002
1.4508288e-002	9.2778075e-002
1.6297508e-002	1.0641400e-001
1.8307383e-002	1.2041451e-001
2.0565123e-002	1.3442672e-001
2.3101297e-002	1.4805364e-001
2.5950242e-002	1.6087157e-001
2.9150531e-002	1.7245125e-001
3.2745492e-002	1.8238130e-001
3.6783798e-002	1.9029237e-001
4.1320124e-002	1.9587990e-001
4.6415888e-002	1.9892362e-001
5.2140083e-002	1.9930203e-001
5.8570208e-002	1.9700062e-001
6.5793322e-002	1.9211297e-001
7.3907220e-002	1.8483476e-001
8.3021757e-002	1.7545122e-001
9.3260335e-002	1.6431927e-001
1.0476158e-001	1.5184591e-001
1.1768120e-001	1.3846490e-001
1.3219411e-001	1.2461364e-001
1.4849683e-001	1.1071220e-001
1.6681005e-001	9.7145861e-002
1.8738174e-001	8.4252348e-002
2.1049041e-001	7.2314241e-002
2.3644894e-001	6.1556501e-002
2.6560878e-001	5.2148638e-002
2.9836472e-001	4.4210606e-002
3.3516027e-001	3.7821226e-002
3.7649358e-001	3.3027851e-002
4.2292429e-001	2.9855933e-002
4.7508102e-001	2.8317311e-002
5.3366992e-001	2.8416242e-002
5.9948425e-001	3.0152481e-002
6.7341507e-001	3.3521083e-002
7.5646333e-001	3.8508938e-002
8.4975344e-001	4.5088422e-002
9.5454846e-001	5.3208906e-002
1.0722672e+000	6.2787099e-002
1.2045035e+000	7.3697472e-002
1.3530478e+000	8.5764065e-002
1.5199111e+000	9.8754989e-002
1.7073526e+000	1.1238077e-001
1.9179103e+000	1.2629744e-001
2.1544347e+000	1.4011472e-001
2.4201283e+000	1.5340947e-001
2.7185882e+000	1.6574352e-001
3.0538555e+000	1.7668511e-001
3.4304693e+000	1.8583207e-001
3.8535286e+000	1.9283505e-001
4.3287613e+000	1.9741877e-001
4.8626016e+000	1.9939935e-001
5.4622772e+000	1.9869606e-001
6.1359073e+000	1.9533657e-001
6.8926121e+000	1.8945486e-001
7.7426368e+000	1.8128227e-001
8.6974900e+000	1.7113230e-001
9.7700996e+000	1.5938063e-001
1.0974988e+001	1.4644208e-001
1.2328467e+001	1.3274648e-001
1.3848864e+001	1.1871533e-001
1.5556761e+001	1.0474114e-001
1.7475284e+001	9.1170529e-002
1.9630407e+001	7.8292167e-002
2.2051307e+001	6.6329820e-002
2.4770764e+001	5.5440352e-002
2.7825594e+001	4.5716166e-002
3.1257158e+001	3.7191208e-002
3.5111917e+001	2.9849525e-002
3.9442061e+001	2.3635306e-002
4.4306215e+001	1.8463400e-002
4.9770236e+001	1.4229472e-002
5.5908102e+001	1.0819136e-002
6.2802914e+001	8.1156442e-003
7.0548023e+001	6.0059275e-003
7.9248290e+001	4.3849418e-003
8.9021509e+001	3.1584517e-003
1.0000000e+002	2.2444570e-003
