1.0000000e-003	8.0436999e-005	4.2228307e-003
1.6102620e-003	2.1845781e-004	6.2581399e-003
2.5929438e-003	4.7619179e-004	1.0081189e-002
4.1753189e-003	1.3766418e-003	1.6292440e-002
6.7233575e-003	3.3396039e-003	2.3522295e-002
1.0826367e-002	7.3909598e-003	4.3811527e-002
1.7433288e-002	1.6932712e-002	6.3186861e-002
2.8072162e-002	3.5553030e-002	8.7048624e-002
4.5203537e-002	7.4620160e-002	1.2845953e-001
7.2789538e-002	1.2295088e-001	1.4339248e-001
1.1721023e-001	1.6167445e-001	1.7892884e-001
1.8873918e-001	2.7024296e-001	1.9104986e-001
3.0391954e-001	3.2158762e-001	1.9365629e-001
4.8939009e-001	3.7589758e-001	1.7964822e-001
7.8804628e-001	4.4102695e-001	1.5322535e-001
1.2689610e+000	4.6459849e-001	1.4329252e-001
2.0433597e+000	4.9835720e-001	1.3709245e-001
3.2903446e+000	5.6540828e-001	1.4813641e-001
5.2983169e+000	6.0660521e-001	1.6739622e-001
8.5316785e+000	6.6291770e-001	1.8694783e-001
1.3738238e+001	7.1122103e-001	1.8532544e-001
2.2122163e+001	7.2747891e-001	1.9294951e-001
3.5622479e+001	8.5783291e-001	1.6918463e-001
5.7361525e+001	9.5115405e-001	1.4451595e-001
9.2367086e+001	9.5525610e-001	1.1886738e-001
1.4873521e+002	1.0058766e+000	9.2542549e-002
2.3950266e+002	1.0114499e+000	5.8557810e-002
3.8566204e+002	9.7978749e-001	4.0707889e-002
6.2101694e+002	1.0078485e+000	2.5627717e-002
1.0000000e+003	9.6663646e-001	1.7103582e-002
